# Time	QK[0]
0.0000000000000000	1.0000000000000000
0.0000100000000000	0.9999999998250000
0.0000200000000000	0.9999999993000001
0.0000300000000000	0.9999999984250001
0.0000400000000000	0.9999999972000001
0.0000500000000000	0.9999999956250001
0.0000600000000000	0.9999999937000001
0.0000700000000000	0.9999999914250003
0.0000800000000000	0.9999999888000005
0.0000900000000000	0.9999999858250008
0.0001001000000000	0.9999999824649835
0.0001102000000000	0.9999999787479313
0.0001203000000000	0.9999999746738443
0.0001305010000000	0.9999999701966081
0.0001407020000000	0.9999999653551608
0.0001509030000000	0.9999999601495023
0.0001612060100000	0.9999999545220949
0.0001715090200000	0.9999999485231558
0.0001819150601000	0.9999999420871037
0.0001923211002000	0.9999999352720524
0.0002028312007010	0.9999999280041472
0.0002133413012020	0.9999999203496246
0.0002239565027080	0.9999999122261211
0.0002345717042140	0.9999999037082294
0.0002452930577351	0.9999998947048353
0.0002560144112562	0.9999998852991259
0.0002667357647772	0.9999998754911014
0.0002775643318335	0.9999998651766268
0.0002883928988898	0.9999998544517505
0.0002993297516166	0.9999998432030476
0.0003102666043435	0.9999998315356942
0.0003213128255976	0.9999998193267161
0.0003323590468517	0.9999998066906730
0.0003435157303184	0.9999997934947771
0.0003546724137850	0.9999997798632322
0.0003659406640863	0.9999997656531665
0.0003772089143876	0.9999997509986954
0.0003885898471920	0.9999997357465863
0.0003999707799963	0.9999997200411397
0.0004114655221287	0.9999997037184783
0.0004229602642611	0.9999996869333675
0.0004345699538148	0.9999996695109966
0.0004461796433685	0.9999996516168813
0.0004579054298177	0.9999996330649811
